"Ctrl_1"	"CD_1"	"Ctrl_2"	"CD_2"	"Ctrl_3"	"CD_3"
"hp1"	11.057268129806	10.9335058733227	10.9453216426176	10.1315830852437	11.2476536695683	9.65653231020382
"hp2"	11.5038563080753	13.147176963473	11.5363201787925	11.9318277042818	11.4903586659411	11.4517436303855
"hp3"	14.7963175478464	16.7669840351543	15.2123217205642	15.506143448091	14.7409092876991	15.1217344008827
"hp4"	8.88564652980207	9.27699013248158	8.67260397199102	8.46695752043619	8.65412965839891	8.10912882138567
"hp5"	8.34359075098172	8.89825819337269	8.2584665219203	7.8603346178505	8.28138435987854	7.52350297257791
"hp6"	12.3289743998937	12.7885655520814	12.1735205075379	11.7263871638178	12.1249007620559	10.9670182190039
"hp7"	11.3419045550014	13.3913137704623	11.6594424696464	11.7059625085169	11.4132028267417	11.6794829671305
"hp8"	14.1364576172342	16.2352552913412	14.696068909857	14.9260295716954	14.0350781855016	14.42328239954
"hp9"	11.8226437023951	13.3510773134877	12.0982888322278	12.2365725489725	11.6545831152588	11.7075003876046
"hp10"	8.43445991787616	8.70266263622096	8.77267860191627	8.03750472251744	8.71909520303915	7.73776429830591
"hp11"	7.75039757600836	8.97328011391155	7.67152161677488	8.00042868416667	7.74203927317544	7.9763934656914
"hp12"	13.0301392353137	13.9121427411567	13.2815728606343	12.6801054198178	12.8981271936013	12.4583060511518
"hp13"	10.4345545864388	11.9596814216237	10.5963822143446	10.7986747480669	10.4211808477954	10.5242268428753
"hp14"	13.8722339078515	15.9681683798242	14.3438274064036	14.6780134507707	14.0017242542072	14.3821662571238
"hp15"	4.5	6.62954928999302	5.00815086149147	5.52943701577732	4.79654240273163	4.98751871906259
"hp16"	13.2553358931646	14.6314185411923	13.1832334056339	13.1936996653068	13.0128476354756	13.1486397331728
"hp17"	14.0263441208969	16.4830724515687	14.4919952701709	14.7826799013768	13.9436052568607	14.2517588578669
"hp18"	8.64963081114933	9.86719283389494	8.78152835145396	8.90513927816204	8.40683199372412	8.93188048328057
"hp20"	7.49517550001787	8.90951393063185	7.64796329713336	7.75578180491076	7.57734157958072	7.80558108516802
"hp21"	9.00909676671408	10.7003978623203	9.20679760386338	9.26876056200651	9.11291435466218	9.27750670165036
"hp22"	4.5	7.01142833667805	5.05631128347665	5.19373642635074	4.74867095896974	5.57307028601807
"hp23"	4.5	5.54746106135606	4.5	4.5	4.5	4.5
"hp24"	11.4919567407802	13.1802156539802	11.7361743377027	11.749116347458	11.6035594130978	11.7302788596135
"hp25"	11.838393645616	12.1896569638037	12.3281415227295	11.5096468192794	12.4108566133805	11.1479775721621
"hp26"	6.93312400863467	7.99941840911419	6.75636922412744	7.56758135825653	6.80874177168795	7.0154236001253
"hp27"	10.7956587928656	12.1640359598696	10.9624913966076	11.0809214243109	10.6177734515823	10.5225170911098
"hp29"	6.30221536676767	10.0073674074185	7.42026163500332	7.76538086060735	6.88487366000435	7.55206927322776
"hp30"	5.92879073283818	5.59538078629406	6.0626549823873	5.36248923070029	5.8158669140695	5.06964461664438
"hp32"	12.4730613083308	15.4610190370932	13.0315228183518	13.131546188424	12.7734506521851	13.3471248099699
"hp33"	4.50208361822879	5.13948934890476	4.50122515322318	4.5	4.57975765225632	4.5
"hp34"	9.4491831042157	9.65387209714092	10.1493732428098	9.11136093769497	10.181446070423	8.75637437127378
"hp35"	5.16847490098819	7.14989181405355	4.941661257419	5.30056363244149	4.57556413886481	5.49223020303585
"hp36"	5.88243683044394	7.27745975559115	5.9161579487843	6.17317075593655	5.99384885049435	5.96320411899499
"hp37"	7.37269497291781	8.28309431040754	6.89840234604474	7.40949250768621	6.95806616578886	7.1947669453052
"hp38"	5.79754723897507	6.77021428827012	5.61332491583698	5.84942646189868	5.68396797860019	5.65900147939736
"hp39"	5.31819502372968	5.22985006937974	4.82305566302708	4.73698915597174	5.11406008390345	4.5
"hp40"	9.08005031098212	10.2857228101487	9.02592678120112	9.21340141084431	8.95618700695263	9.29650335505136
"hp41"	10.4200244245622	11.4723743188394	10.0417060816713	10.3056164998735	9.89057060484284	10.3769815093012
"hp42"	6.16455864100802	7.68766374678355	6.28792308447053	6.44245645255182	6.30492511512506	6.76141710561562
"hp43"	4.5	4.88858619277586	4.7583223907053	4.5	4.5	4.5
"hp45"	6.12942634784773	6.06032985600992	5.86536433790796	5.67443242986695	5.74415721515316	5.16179782099552
"hp46"	14.4426572998132	14.2457674676167	13.7987524056913	13.6958885939594	13.8966108324316	12.9851401503007
"hp47"	9.58877187767725	9.44576815474401	10.1836289563116	9.39312825634792	10.2696501783297	8.91899543788044
"hp48"	7.71391854942462	8.60089085090827	7.8680844408807	7.23336937994695	7.73725156489071	6.98193016377622
"hp49"	9.42278041759943	11.0320200172691	9.35194771926369	9.55068137472945	9.46564326176522	9.9432170665783
"hp50"	7.43722652940317	7.2302663988887	7.09330494713211	6.84201307197898	7.2208451433038	6.5845799766288
"hp52"	9.63825216347075	10.1254266689663	9.68645020993618	9.33777096874779	9.74437204878521	9.14757899866534
"hp53"	5.8435513706736	5.6488500216993	6.17599184561886	5.40661790090968	6.15574230556104	5.37843013913575
"hp54"	11.532341062836	11.7633095906439	12.983031966473	11.2045859416686	12.6998076774582	11.0456197805792
"hp55"	12.0613799487866	12.6197676132573	12.701516463661	11.7923005890809	12.8320934903795	11.4539298653388
"hp56"	7.3352792056936	7.50570035260896	7.23259659937007	6.76423416937601	7.30975919607532	6.82462510520247
"hp58"	6.37481887007445	6.33317421220164	6.24632924403478	5.90737082462164	6.82949468615826	5.72497480135929
"hp60"	7.71559571776704	9.34273310215878	8.06838794017788	7.956495537672	7.77014409477084	7.90982478248246
"hp61"	9.13348871331564	9.12335031460335	9.09728883541856	8.69715757546696	8.93006789090465	8.34745661221758
"hp62"	11.9002322697036	14.0182830325668	12.2841634677142	13.0394125917489	12.7724527336927	13.3542700264729
"hp63"	7.36065092086964	8.56090802535909	6.96593609090802	7.7605732960487	7.28482796520735	7.0585178321355
"hp64"	14.9399172800732	16.1779099002148	14.6254623287131	14.7767110744466	14.5685094538156	14.8219551009227
"hp65"	4.59888902846462	6.42034070797149	4.60770035112933	4.92093269607168	4.7733754847063	4.67991795210808
"hp66"	12.9873289393676	13.5546155011242	13.6409466956964	12.9116292982958	13.4317061678554	12.5173863084303
"hp67"	15.093597216281	15.7767330527336	15.5865016223137	14.7534076824324	15.535748275815	14.8512361552852
"hp68"	9.7800749586013	8.7198809351283	9.58431721215966	9.06103912287233	10.4513594962271	8.90868955232075
"hp69"	6.4597847010667	7.67665626619697	6.27262090589745	6.37796989282493	6.17405889545586	6.20141392187741
