	Ctrl_1	CD_1	Ctrl_2	CD_2	Ctrl_3	CD_3
ZC3H18	5.210175881	5.476815879	5.303704629	5.868367483	5.359201522	6.005614756
#N/A	5.219994611	5.771330272	5.459086075	5.828748996	5.583455222	5.907600081
PRPF38B	6.022482335	6.628106524	6.472255837	6.72220182	6.069884422	6.477689273
ACIN1	5.347661193	5.829789375	5.696330065	6.009203174	5.225802068	5.514052527
PCNP	4.5	4.691632794	5.532221469	5.848460893	5.123612198	5.660995527
PEA15	5.564362604	6.10677035	6.888114296	7.356806683	6.657006883	6.920873535
SRRM1	6.759360059	7.09602576	6.902241011	7.182122058	6.494827087	7.047401169
BCLAF1	6.951670049	7.315159949	7.01809994	7.190835544	6.686700681	7.27124621
NUCKS1	6.325725782	6.642511016	6.434150034	6.984493124	6.626859291	6.800490122
MATR3	8.002578585	8.375961521	8.481755286	8.772713731	8.108830881	8.75525657
