index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1732	4.2	8.9	11.8	9.6	8.5	11.1
hp1733	108.8	243.7	253.2	228.4	223	247.7
hp1734	7	16	21.1	15.1	18.8	17.8
hp1735	566.8	1413.2	1658.2	1296.9	1270.5	1752.9
hp1736	5055.6	6053.2	7147.8	6788.2	5862.2	7013.6
hp1737	3138.1	11115.1	14167	11624.7	9939.6	12448.5
hp1738	1500.2	5293.4	6082.3	4898.8	4354.5	6304.5
hp1739	1224	4798.4	5044.9	3433.6	4386.9	5769.8
hp1740	362.6	1042	1237.1	1050.8	967.3	1103.6
hp1741	919	1481.6	1751.5	1593.4	1353.3	1737.6
hp1742	106.9	484.5	727.3	561.6	432.9	587.6
hp1743	2068.6	3997.8	6239.3	5719.3	3807.1	5007
hp1744	315.7	1395	765.6	1167	776.1	1005.4
hp1745	929.2	225.7	337.4	380	223.8	311.9
hp1746	1657.2	735.2	811.9	919.2	750	797.8
hp1747	41.2	111.7	136.5	94.8	100.5	158
hp1748	611.7	1459.6	1754.9	1347.7	1518.8	1605.7
hp1749	746.4	2105	2719.1	2382.8	1853.1	2387.6
hp1750	1034.1	2741.1	4081.3	3647.3	2396.7	3393.8
hp1751	26.4	40.3	53.6	47.4	39.5	48.9
hp1752	16127.6	28824	39998.1	32700.5	29008.9	35986.6
hp1753	1396.7	4471.3	6110	5188.8	3973.6	5153.9
hp1754	1520.4	2414.5	3106.1	2830.6	2137.3	3126
hp1755	41	81.4	90.3	85.1	72.9	85.6
hp1756	430.1	668.8	788.1	677	712.3	708.8
hp1757	2022.5	3923.7	4797.1	4107.1	3611.7	4673.5
hp1758	255.4	421.2	477.3	405.5	428	457.1
hp1759	22.9	46.2	49.9	33.1	47.3	65.2
hp1760	72.7	18.8	15.7	20.6	17	20.5
hp1761	643.7	1359.6	1703.6	1220.7	1342.1	1808.7
hp1762	177.9	324	439	350.4	332.7	397.1
hp1763	190.5	273.1	353.3	355.4	250.6	319.4
hp1764	45.1	88.2	118.4	93.6	93	103.4
hp1765	114.1	214.6	212.4	194.5	200.4	214.3
hp1766	91.3	183.2	236.5	193.9	176.4	221.2
hp1767	2397.3	6319	8924.9	8344.1	5611.4	7107.7
hp1768	851.7	1553.6	1902.8	1663.8	1490.7	1755.3
hp1769	545.1	495.1	640.3	486.2	490.4	591.4
hp1770	1888.1	6216.3	7799.1	6246.1	5512.7	7201.8
hp1771	181.7	332.7	405	349.1	328.9	367.7
hp1772	209.3	383.5	400.6	353.2	393.6	371.3
hp1773	375.9	941.8	1026.7	783	848.2	1148.7
hp1774	131.5	361.7	385.7	352.5	295	389.2
hp1775	147.9	350.8	403.2	258.4	412.1	413.3
hp1776	897.2	1938.6	2312.7	2134.9	1603.6	2300
hp1777	1590.5	733.8	1152.8	1089.8	689.1	1027.6
hp1778	307.5	820.4	1175.4	974.6	716.5	1060.1
hp1779	656.6	1885.7	2328.4	1874.3	1699.7	2193.4
hp1780	4568.1	10396	10537.8	9516.6	8738.7	11288.9
hp1781	2.6	13.1	17.2	13.8	11.4	14
hp1782	222.5	438.5	515.9	425.2	432.9	488.9
hp1783	711.8	1741.3	1867.3	2008.1	1353.9	1741.5
hp1784	156.1	311.7	366.7	284.4	313	363.6
hp1785	104.9	245.2	301.7	225.2	261.9	273
hp1786	195.9	408.7	415	334.2	434.4	403.1
hp1787	78.3	162	198.1	146.6	171.5	189.7
hp1788	944.7	3422	4610.3	3467.3	3091.8	4166.7
hp1789	1499.1	1402.8	1857.9	1552.9	1294.8	1564.4
hp1790	91.4	185.7	166.5	171.4	151.6	179
hp1791	8.2	17.7	18.2	15	16.4	19.5
hp1792	198.4	702.3	1076.5	865.2	628.3	868.5
hp1793	25.8	62.7	95.4	79.2	62.5	74.3
hp1794	213.9	431.1	563.9	453.5	428	513.6
hp1795	469.7	736.8	826.7	744.5	676	845.1
hp1796	173.8	444.3	495.5	412.1	418.2	467.9
hp1797	4650.5	11629	13013.9	11587.7	9975.2	12690
hp1798	33.9	68.6	179	34.4	62.5	63.4
hp1799	1874.6	3888.8	5522.8	5017.9	3463.2	4804.3
hp1800	34.8	101.9	132.2	93.2	100	126.1
hp1801	146.1	395.7	454.7	356.2	377.8	435.6
hp1802	5.2	10.3	13.9	10.1	15.4	9.5
hp1803	499.8	750.2	910	764.5	739.3	903.5
hp1804	1414.9	5271.5	5851.1	4559.1	4392.1	6092.8
hp1805	14.1	20.1	36.2	43.1	17	30.8
hp1806	22452.1	20597.4	29150.2	22513.4	17697.9	25091.7
hp1807	1447.4	2620.3	3451	2962.2	2516.7	3128.9
hp1808	276.5	498.3	558.9	560.7	433.8	520.4
hp1809	406.3	772.8	1416.3	1019.9	858.5	1142.2
hp1810	27.2	11.6	22.4	16.8	15.5	15.3
hp1811	23.8	45.7	32.3	34.2	38.7	40.6
hp1812	389.9	912.3	1171.1	992.1	822.4	1079.2
hp1813	181.1	357.1	459.1	310.2	433.6	416.8
hp1814	306	786	1209.4	918.1	790.4	992.7
hp1815	1222.8	3057	3884.4	3371.7	2758.1	3435.2
hp1816	43.5	106	34.3	57.4	113.3	56.8
hp1817	14.8	18.5	53.9	16.6	19.5	18.8
hp1818	1442.5	3053.3	3262.9	2914.8	2709.6	3269.2
hp1819	367	575.4	673.9	540.8	610.6	649.9
hp1820	1645.1	1801.5	2803.2	2077.1	2196.4	2668.9
hp1821	50.5	89.9	127.8	101.6	93.2	112.3
hp1822	76.1	123.6	144.1	95.2	165.3	144.5
hp1823	327.8	683.3	742.6	587.5	650.3	783.9
hp1824	2208.5	5841.9	5584.6	4491.3	5216.1	6293
hp1825	1222.5	2373.8	2502.6	2213.3	2232.3	2456.5
hp1826	268.6	304.7	454.1	403.9	331.3	399.2
