index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1104	2.5	16.9	11.5	7.8	13.2	17.5
hp1105	13.6	76.3	68.7	52.5	74	62.1
hp1106	2.7	225.4	179.2	80	163.4	193.1
hp1107	13.9	43.6	42.5	40.5	34.6	41.7
hp1108	8.7	177.7	242	116	156.9	205
hp1110	93.7	355.2	471.5	321.1	353.2	406.1
hp1112	18.9	299.2	323.8	162.2	232.6	370.9
hp1113	19.3	58.5	64.2	27.2	45.9	24
hp1115	4.6	34.8	42.8	25.9	27.1	45.4
hp1116	4	18.4	16.9	14.9	15.4	15.6
hp1118	2.1	6	10.8	6.8	8.5	6.5
hp1119	9.9	26.8	49.7	40.2	23.2	39.7
hp1120	2.6	25.3	48.6	14.7	39	38.6
hp1121	2.5	70.5	72.9	38	63	58.5
hp1123	7.9	29.6	53.5	7.4	22.1	20.6
hp1124	24.8	87.8	90.7	73.6	87.2	76.2
hp1125	11.6	83	159.6	14.7	52	34.9
hp1126	4.5	16.2	15.5	6.9	8.4	8
hp1127	7.2	19.2	23.4	12.9	23.5	24.6
hp1128	4.3	18.2	19.5	13	18.5	18.1
hp1130	12	15.3	37.5	10.8	16.8	17.7
hp1132	4.2	8.9	17.7	7	5.8	6.8
hp1134	4.3	23	34.4	21.3	22.3	27.2
hp1135	2.1	19	13.5	4	4.3	7.4
hp1136	14	104.3	124.7	74.2	94.1	114.2
hp1137	5.8	35.7	39	28	30.3	35
hp1138	4.7	4.6	10.1	13.5	4.9	7.1
hp1140	9.6	24.3	22.6	17	19.7	31
hp1142	43.5	14.3	12.5	18.9	29.1	33.2
hp1143	9	25.5	39.6	11.3	17.7	17.7
hp1144	2.9	3.2	5.6	3.5	5.2	4.4
hp1145	7.3	19	24.8	22.5	18.2	18.3
hp1146	3	86.1	101.1	40.7	87.5	81.2
hp1147	5.7	13.8	26.3	5.5	11.3	12.3
hp1149	4.8	11.9	12.7	9	13.7	11.5
hp1150	2.4	11.7	17.2	11.2	11.7	12.8
hp1151	7.7	7.8	7	6	8.5	13.4
hp1152	3.8	22.3	27.5	18.2	18.6	25.3
hp1153	50.7	92.3	163.3	141.3	106.1	103.6
hp1154	6.8	16.2	30.8	15.8	20	27
hp1155	2.8	25.4	31.1	25.2	18.4	23.5
hp1157	5.4	21.4	28.1	23.9	15	26.3
hp1158	4.1	14.5	15.4	12.7	10.5	16.8
hp1159	7.2	30	26.1	26.5	20.1	27
hp1160	40.5	125.4	131.1	110.1	117.2	113.3
hp1161	27.8	106.2	112.4	30.6	70.1	56.8
hp1162	49.9	204.2	180.5	124.3	187.1	202.3
hp1163	5.7	14.9	11.8	9	12.6	16.8
hp1164	2.3	32.3	39.2	24.5	25.2	30.6
hp1165	7.8	21.8	36.7	17.9	26.6	34.2
hp1166	9	5.6	6.2	9.7	2.6	5.6
hp1168	5.5	23.4	25.4	16.7	23.7	22.8
hp1169	13.9	66.3	52.9	15.1	44	24.8
hp1170	15	39.5	43.1	36	36.4	38.8
hp1171	6.1	29.9	50	5.2	22.6	18
hp1172	9.1	288.8	315.3	132.2	266.2	253.4
hp1173	6.8	42.8	72.8	44	38.2	54.4
hp1175	6.6	14.2	12.3	11.8	13.1	12
hp1176	11.3	333.3	295	166.7	190.9	331.4
hp1177	9.4	31.3	17.5	12.4	29.5	33.2
hp1178	5.1	53.3	65.3	37.9	53.4	45.8
hp1181	6.2	33.5	31.1	17.3	31.3	37.5
hp1182	2.3	12.3	24.4	10.6	16.3	16.3
hp1183	8.2	25.5	32.5	22.9	22.5	31.2
hp1184	2.1	145.4	71	30.1	114.2	92
hp1185	22.3	41	46.1	52.1	39.2	33.6
hp1186	10	19.2	22.2	22.3	15.9	20
hp1187	9.5	22.7	38.3	30.8	19.7	31.3
hp1188	7.6	29.2	48.6	32.4	27.4	36.9
hp1189	6.2	19.8	20.6	6.9	12.5	12.8
hp1190	2.7	60.3	68.2	29	50.2	63.2
hp1191	2.4	10.4	13.3	2.8	7.1	5.3
hp1192	2.3	14.5	12.7	16.4	5.9	15.4
hp1194	6.7	13.9	10.4	8.7	11.6	15.7
hp1195	2.5	124.1	119	21.4	126.2	211.8
hp1196	3	16.5	10.6	7.5	13.5	14.6
hp1197	55.4	135.6	123.6	90.8	128	144.1
hp1198	21	40.7	134.9	143.4	41	65
hp1199	2.1	4.7	10.4	4.3	8	7.8
hp1200	3.2	26	67.4	25.7	23.7	55.4
hp1201	4.2	13.7	14.1	15.3	9.4	12.6
hp1202	36.7	61.9	94.2	68.5	66.7	80.2
hp1204	42	120.8	154	43.6	84.2	91
hp1205	29.2	158	174.9	101.4	157.9	158.8
hp1206	8.4	46	30	20.6	44.2	36.2
hp1207	10.5	91.3	99.9	54.6	78.1	95.6
hp1208	38.7	171.2	176.3	118.9	154.4	170
hp1209	35.3	147.7	191.4	140.2	117.1	170.2
hp1210	4.4	9.5	11	5	7.5	6.9
hp1211	2.9	14.1	17.7	13.1	11.2	15
hp1213	4.1	22.8	28	18.6	21.4	21.5
hp1214	9.5	30.2	22.8	19.5	22	30.5
hp1216	6.7	86.4	66	27	84.6	87.6
hp1217	2.4	6.1	7.7	3.1	2.6	6.1
hp1218	27.3	60.1	72.2	16.7	55.6	52.9
hp1219	7	21.5	28	16.6	20.3	29
hp1220	13.2	58.4	115.6	18.1	32.2	42.6
hp1221	34.5	114.3	71.2	67.6	95.3	86.1
hp1222	6.4	10.5	8.1	3.6	8.8	9.2
hp1223	3.2	27.1	26.9	20.3	21.8	20.7
hp1224	160	565.1	381.4	290.1	490.1	516.7
hp1225	8.6	23.6	23.5	15.6	23.5	25.5
hp1226	4.9	5.3	6.4	3.7	4	7.3
hp1227	2.4	5.7	12.7	5.5	6.6	12.8
